customerID,gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,tenure_group,Churn
2954-PIBKO,Female,69,64.15,4254.10,"Two year",DSL,"Credit card (automatic)",Loyal,No
8012-SOUDQ,Female,43,90.25,3838.75,Month-to-month,"Fiber optic","Electronic check",Loyal,No
9420-LOJKX,Female,15,99.10,1426.40,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,Yes
6575-SUVOI,Female,25,69.50,1752.65,Month-to-month,DSL,"Credit card (automatic)",Loyal,No
7495-OOKFY,Female,8,80.65,633.30,Month-to-month,"Fiber optic","Credit card (automatic)",Mid,Yes
4667-QONEA,Female,60,74.85,4456.35,"One year",DSL,"Credit card (automatic)",Loyal,No
1658-BYGOY,Male,18,95.45,1752.55,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
8769-KKTPH,Female,63,99.65,6311.20,"One year","Fiber optic","Credit card (automatic)",Loyal,No
5067-XJQFU,Male,66,108.45,7076.35,"One year","Fiber optic","Electronic check",Loyal,No
5954-BDFSG,Female,72,107.50,7853.70,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
0434-CSFON,Female,47,100.50,4707.10,Month-to-month,"Fiber optic","Electronic check",Loyal,No
1215-FIGMP,Male,60,89.90,5450.70,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
0526-SXDJP,Male,72,42.10,2962.00,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
0557-ASKVU,Female,18,54.40,957.10,"One year",DSL,"Credit card (automatic)",Loyal,No
5698-BQJOH,Female,9,94.40,857.25,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
5122-CYFXA,Female,3,75.30,244.10,Month-to-month,DSL,"Electronic check",New,No
8627-ZYGSZ,Male,47,78.90,3650.35,"One year","Fiber optic","Electronic check",Loyal,No
3410-YOQBQ,Female,31,79.20,2497.20,"Two year",DSL,"Mailed check",Loyal,No
7410-OIEDU,Male,10,79.85,887.35,Month-to-month,"Fiber optic","Mailed check",Mid,No
2273-QCKXA,Male,1,49.05,49.05,Month-to-month,DSL,"Mailed check",New,No
1891-QRQSA,Male,64,111.60,7099.00,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
5630-AHZIL,Female,3,64.50,177.40,Month-to-month,DSL,"Bank transfer (automatic)",New,No
2673-CXQEU,Female,56,110.50,6139.50,"One year","Fiber optic","Electronic check",Loyal,No
6416-JNVRK,Female,46,55.65,2688.85,"One year",DSL,"Credit card (automatic)",Loyal,No
5590-ZSKRV,Female,8,54.65,482.25,Month-to-month,DSL,"Mailed check",Mid,No
0191-ZHSKZ,Male,30,74.75,2111.30,Month-to-month,DSL,"Electronic check",Loyal,No
5919-TMRGD,Female,1,79.35,79.35,Month-to-month,"Fiber optic","Electronic check",New,Yes
8108-UXRQN,Female,11,50.55,565.35,Month-to-month,DSL,"Electronic check",Mid,No
9191-MYQKX,Female,7,75.15,496.90,Month-to-month,"Fiber optic","Bank transfer (automatic)",Mid,Yes
9919-YLNNG,Female,42,103.80,4327.50,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
4445-ZJNMU,Male,9,99.30,918.75,Month-to-month,"Fiber optic","Credit card (automatic)",Mid,No
4808-YNLEU,Female,35,62.15,2215.45,"One year",DSL,"Bank transfer (automatic)",Loyal,No
3016-KSVCP,Male,29,33.75,1009.25,Month-to-month,DSL,"Mailed check",Loyal,No
4767-HZZHQ,Male,30,82.05,2570.20,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
2424-WVHPL,Male,1,74.70,74.70,Month-to-month,"Fiber optic","Electronic check",New,No
7233-PAHHL,Male,66,84.00,5714.25,"Two year",DSL,"Mailed check",Loyal,No
6067-NGCEU,Female,65,111.05,7107.00,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
9848-JQJTX,Male,72,100.90,7459.05,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
8637-XJIVR,Female,12,78.95,927.35,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
9803-FTJCG,Male,71,66.85,4748.70,"One year",DSL,"Credit card (automatic)",Loyal,No
4598-XLKNJ,Female,25,98.50,2514.50,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
7123-WQUHX,Male,38,95.00,3605.60,"One year","Fiber optic","Bank transfer (automatic)",Loyal,No
5386-THSLQ,Female,66,45.55,3027.25,"One year",DSL,"Bank transfer (automatic)",Loyal,No
3192-NQECA,Male,68,110.00,7611.85,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,Yes
6180-YBIQI,Male,5,24.30,100.20,Month-to-month,DSL,"Mailed check",New,No
6728-DKUCO,Female,72,104.15,7303.05,"One year","Fiber optic","Electronic check",Loyal,No
9750-BOOHV,Female,32,30.15,927.65,"One year",DSL,"Mailed check",Loyal,No
8597-CWYHH,Male,43,94.35,3921.30,"One year","Fiber optic","Mailed check",Loyal,No
0486-HECZI,Male,55,96.75,5238.90,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
4549-ZDQYY,Female,52,57.95,3042.25,"One year",DSL,"Credit card (automatic)",Loyal,No
5712-AHQNN,Female,43,91.65,3954.10,Month-to-month,"Fiber optic","Electronic check",Loyal,No
4846-WHAFZ,Female,37,76.50,2868.15,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
5256-SKJGO,Female,64,54.60,3423.50,"Two year",DSL,"Electronic check",Loyal,No
3071-VBYPO,Male,3,89.85,248.40,Month-to-month,"Fiber optic","Electronic check",New,No
9560-BBZXK,Female,36,31.05,1126.35,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
5299-RULOA,Female,10,100.25,1064.65,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
9445-ZUEQE,Male,27,85.20,2151.60,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
1091-SOZGA,Female,56,99.80,5515.45,"One year","Fiber optic","Credit card (automatic)",Loyal,No
0404-SWRVG,Male,3,74.40,229.55,Month-to-month,"Fiber optic","Electronic check",New,Yes
6497-TILVL,Female,7,50.70,350.35,Month-to-month,DSL,"Mailed check",Mid,No
4622-YNKIJ,Male,33,88.95,3027.65,"Two year","Fiber optic","Electronic check",Loyal,No
4412-YLTKF,Female,27,78.05,2135.50,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
2639-UGMAZ,Male,71,56.45,3985.35,"One year",DSL,"Electronic check",Loyal,No
2876-GZYZC,Female,13,85.95,1215.65,Month-to-month,"Fiber optic","Electronic check",Loyal,No
6207-WIOLX,Female,25,58.60,1502.65,Month-to-month,DSL,"Credit card (automatic)",Loyal,Yes
8587-XYZSF,Male,67,50.55,3260.10,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
3091-FYHKI,Male,1,35.45,35.45,Month-to-month,DSL,"Electronic check",New,Yes
2372-HWUHI,Male,2,44.35,81.25,Month-to-month,DSL,"Electronic check",New,Yes
7850-VWJUU,Female,23,75.00,1778.50,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
0390-DCFDQ,Female,1,70.45,70.45,Month-to-month,"Fiber optic","Mailed check",New,Yes
3146-MSEGF,Female,72,88.05,6425.65,"Two year",DSL,"Credit card (automatic)",Loyal,No
4080-OGPJL,Female,8,71.15,563.65,Month-to-month,DSL,"Electronic check",Mid,Yes
1095-WGNGG,Female,61,101.05,5971.25,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
2636-SJDOU,Male,64,84.30,5289.05,"One year","Fiber optic","Credit card (automatic)",Loyal,No
5716-EZXZN,Female,65,99.05,6416.70,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
2135-RXIHG,Male,1,45.65,45.65,Month-to-month,DSL,"Electronic check",New,Yes
6440-DKQGE,Male,30,64.50,1929.95,"One year",DSL,"Credit card (automatic)",Loyal,No
3466-BYAVD,Male,15,69.50,1071.40,Month-to-month,DSL,"Mailed check",Loyal,No
3780-YVMFA,Female,8,68.55,564.35,Month-to-month,DSL,"Electronic check",Mid,No
3874-EQOEP,Male,7,95.00,655.50,Month-to-month,"Fiber optic","Mailed check",Mid,Yes
1679-JRFBR,Female,70,108.15,7930.55,"One year","Fiber optic","Credit card (automatic)",Loyal,No
9073-ZZIAY,Male,62,86.10,5215.25,"Two year",DSL,"Electronic check",Loyal,No
6551-GNYDG,Female,14,80.90,1152.80,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
9167-APMXZ,Female,22,84.15,1821.95,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
6371-NZYEG,Male,16,64.25,1024.00,"Two year",DSL,"Mailed check",Loyal,No
8992-VONJD,Female,13,56.00,764.55,Month-to-month,DSL,"Electronic check",Loyal,No
0867-MKZVY,Female,20,82.40,1592.35,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
4482-EWFMI,Female,2,69.70,135.20,Month-to-month,"Fiber optic","Electronic check",New,No
4648-YPBTM,Male,53,73.90,3958.25,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
3376-BMGFE,Female,4,70.90,273.00,Month-to-month,"Fiber optic","Bank transfer (automatic)",New,Yes
5997-OPVFA,Male,72,89.05,6254.45,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
3445-HXXGF,Male,58,45.30,2651.20,Month-to-month,DSL,"Electronic check",Loyal,Yes
7654-YWJUF,Male,43,84.25,3539.25,"One year","Fiber optic","Bank transfer (automatic)",Loyal,No
1875-QIVME,Female,2,104.40,242.80,Month-to-month,"Fiber optic","Electronic check",New,Yes
6727-IOTLZ,Male,14,81.95,1181.75,"Two year",DSL,"Mailed check",Loyal,No
0691-JVSYA,Female,53,94.85,5000.20,"One year","Fiber optic","Bank transfer (automatic)",Loyal,Yes
2656-FMOKZ,Female,15,74.45,1145.70,Month-to-month,"Fiber optic","Mailed check",Loyal,Yes
2070-FNEXE,Female,7,76.45,503.60,Month-to-month,"Fiber optic","Bank transfer (automatic)",Mid,Yes
5947-SGKCL,Female,15,105.35,1559.25,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,No
6317-YPKDH,Female,1,29.95,29.95,Month-to-month,DSL,"Bank transfer (automatic)",New,Yes
6582-OIVSP,Female,1,45.30,45.30,Month-to-month,DSL,"Mailed check",New,No
9367-WXLCH,Male,8,84.50,662.65,Month-to-month,"Fiber optic","Bank transfer (automatic)",Mid,Yes
5524-KHNJP,Male,33,74.75,2453.30,"One year",DSL,"Credit card (automatic)",Loyal,No
1918-ZBFQJ,Female,13,79.25,1111.65,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
1024-GUALD,Female,1,24.80,24.80,Month-to-month,DSL,"Electronic check",New,Yes
4827-USJHP,Male,20,51.80,1023.85,Month-to-month,DSL,"Mailed check",Loyal,No
8167-GJLRN,Male,3,30.40,82.15,Month-to-month,DSL,"Electronic check",New,No
8017-UVSZU,Female,40,56.60,2379.10,Month-to-month,DSL,"Credit card (automatic)",Loyal,No
7100-FQPRV,Male,43,71.90,3173.35,"One year",DSL,"Credit card (automatic)",Loyal,No
2472-OVKUP,Male,6,91.00,531.00,Month-to-month,"Fiber optic","Electronic check",New,Yes
9680-NIAUV,Female,72,109.70,8129.30,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
2604-IJPDU,Female,20,96.55,1901.65,Month-to-month,"Fiber optic","Electronic check",Loyal,No
6168-YBYNP,Male,59,111.35,6519.75,Month-to-month,"Fiber optic","Electronic check",Loyal,No
7255-SSFBC,Male,72,112.25,8041.65,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
9323-HGFWY,Female,27,101.90,2681.15,"One year","Fiber optic","Credit card (automatic)",Loyal,No
8544-GOQSH,Female,14,80.05,1112.30,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
3363-DTIVD,Male,71,105.55,7405.50,"Two year","Fiber optic","Electronic check",Loyal,No
7018-WBJNK,Male,13,78.30,1033.95,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
9142-KZXOP,Male,44,68.85,2958.95,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
7674-YTAFD,Female,33,79.95,2684.85,"One year","Fiber optic","Bank transfer (automatic)",Loyal,No
6348-SNFUS,Male,72,55.45,4179.20,"Two year",DSL,"Credit card (automatic)",Loyal,No
1285-OKIPP,Male,1,79.90,79.90,Month-to-month,"Fiber optic","Electronic check",New,Yes
7825-ECJRF,Female,19,106.60,1934.45,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
1347-KTTTA,Male,64,102.45,6654.10,"One year","Fiber optic","Credit card (automatic)",Loyal,No
7841-TZDMQ,Male,2,46.00,84.50,Month-to-month,DSL,"Credit card (automatic)",New,Yes
4195-NZGTA,Female,1,25.25,25.25,Month-to-month,DSL,"Electronic check",New,No
2504-DSHIH,Male,23,86.80,1975.85,Month-to-month,"Fiber optic","Electronic check",Loyal,No
0699-NDKJM,Female,57,58.75,3437.45,Month-to-month,DSL,"Bank transfer (automatic)",Loyal,No
9286-BHDQG,Male,72,45.25,3139.80,"Two year",DSL,"Credit card (automatic)",Loyal,No
0230-WEQUW,Male,66,56.60,3789.20,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
2040-LDIWQ,Male,65,84.20,5324.50,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
6496-JDSSB,Female,8,80.00,624.60,Month-to-month,"Fiber optic","Bank transfer (automatic)",Mid,No
9408-SSNVZ,Female,4,70.15,268.35,Month-to-month,"Fiber optic","Electronic check",New,Yes
0742-MOABM,Male,4,50.05,179.35,Month-to-month,DSL,"Mailed check",New,Yes
6778-JFCMK,Male,24,50.60,1288.75,"One year",DSL,"Mailed check",Loyal,No
6341-JVQGF,Female,31,81.15,2545.75,"One year",DSL,"Mailed check",Loyal,No
2232-DMLXU,Female,1,55.20,55.20,Month-to-month,DSL,"Mailed check",New,Yes
4811-JBUVU,Male,30,89.90,2723.15,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
0945-TSONX,Female,47,85.30,4107.25,"Two year",DSL,"Credit card (automatic)",Loyal,No
2651-ZCBXV,Male,54,108.00,5760.65,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
3316-UWXUY,Male,50,93.50,4747.50,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
8937-RDTHP,Male,1,84.60,84.60,Month-to-month,"Fiber optic","Mailed check",New,Yes
1251-KRREG,Male,2,54.40,114.10,Month-to-month,DSL,"Mailed check",New,Yes
0621-JFHOL,Female,10,29.60,299.05,"Two year",DSL,"Mailed check",Mid,No
9903-LYSAB,Male,18,73.15,1305.95,Month-to-month,"Fiber optic","Electronic check",Loyal,No
0094-OIFMO,Female,11,95.00,1120.30,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
7301-ABVAD,Female,72,86.60,6350.50,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
6614-FHDBO,Male,72,109.20,7878.30,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
7576-ASEJU,Female,41,74.70,3187.65,"One year",DSL,"Credit card (automatic)",Loyal,No
9058-HRZSV,Female,65,94.40,6126.15,Month-to-month,"Fiber optic","Electronic check",Loyal,No
4522-AKYLR,Female,13,54.80,731.30,Month-to-month,DSL,"Electronic check",Loyal,No
0221-WMXNQ,Male,4,75.35,273.40,Month-to-month,"Fiber optic","Electronic check",New,No
0303-UNCIP,Male,41,65.00,2531.80,"One year",DSL,"Mailed check",Loyal,No
9947-OTFQU,Male,15,74.40,1074.30,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
0322-YINQP,Male,1,48.55,48.55,Month-to-month,DSL,"Mailed check",New,Yes
0959-WHOKV,Male,42,99.00,4298.45,"One year","Fiber optic","Electronic check",Loyal,No
4075-JFPGR,Female,51,93.50,4619.55,"One year","Fiber optic","Electronic check",Loyal,No
4629-NRXKX,Female,2,70.40,147.15,Month-to-month,"Fiber optic","Electronic check",New,Yes
9514-JDSKI,Male,1,40.20,40.20,Month-to-month,DSL,"Electronic check",New,Yes
3282-ZISZV,Male,32,83.70,2633.30,"One year",DSL,"Credit card (automatic)",Loyal,No
4111-BNXIF,Female,67,59.55,4103.90,"Two year",DSL,"Electronic check",Loyal,No
7017-VFHAY,Female,61,115.10,7008.15,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
6655-LHBYW,Male,50,114.35,5791.10,"One year","Fiber optic","Credit card (automatic)",Loyal,No
4959-JOSRX,Female,2,44.60,80.55,Month-to-month,DSL,"Credit card (automatic)",New,Yes
5046-NUHWD,Female,29,45.00,1228.65,Month-to-month,DSL,"Electronic check",Loyal,No
7273-TEFQD,Male,3,41.15,132.20,Month-to-month,DSL,"Electronic check",New,Yes
3606-TWKGI,Male,13,106.90,1364.30,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
7529-ZDFXI,Male,57,89.85,4925.35,Month-to-month,"Fiber optic","Electronic check",Loyal,No
7605-BDWDC,Female,31,49.85,1520.10,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
1950-KSVVJ,Female,45,113.30,5032.25,"One year","Fiber optic","Mailed check",Loyal,No
0123-CRBRT,Female,61,88.10,5526.75,"Two year",DSL,"Mailed check",Loyal,No
3197-ARFOY,Female,19,105.00,2007.25,Month-to-month,"Fiber optic","Mailed check",Loyal,No
4385-GZQXV,Female,16,94.45,1511.20,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
7633-MVPUY,Male,57,59.75,3450.15,"Two year",DSL,"Electronic check",Loyal,No
6366-ZGQGL,Male,1,24.80,24.80,Month-to-month,DSL,"Bank transfer (automatic)",New,Yes
4716-HHKQH,Male,20,107.05,2172.05,Month-to-month,"Fiber optic","Electronic check",Loyal,No
5940-AHUHD,Male,1,70.60,70.60,Month-to-month,"Fiber optic","Mailed check",New,Yes
6432-TWQLB,Male,5,85.40,401.10,Month-to-month,"Fiber optic","Electronic check",New,Yes
4484-GLZOU,Female,52,105.05,5624.85,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
3179-GBRWV,Male,21,64.95,1339.80,Month-to-month,DSL,"Bank transfer (automatic)",Loyal,No
8645-KWHJO,Male,14,55.00,771.95,Month-to-month,DSL,"Electronic check",Loyal,No
4130-MZLCC,Female,5,50.55,244.75,Month-to-month,DSL,"Bank transfer (automatic)",New,No
0314-TKOSI,Female,6,55.15,322.90,Month-to-month,DSL,"Mailed check",New,No
8229-MYEJZ,Female,10,51.20,498.25,Month-to-month,DSL,"Electronic check",Mid,No
9577-WJVCQ,Female,68,54.45,3687.75,Month-to-month,DSL,"Mailed check",Loyal,No
9512-UIBFX,Male,18,95.15,1779.95,Month-to-month,"Fiber optic","Mailed check",Loyal,Yes
6202-DYYFX,Female,22,76.00,1783.60,"One year","Fiber optic","Credit card (automatic)",Loyal,No
3808-HFKDE,Female,20,44.35,927.15,Month-to-month,DSL,"Electronic check",Loyal,No
5583-SXDAG,Male,1,70.00,70.00,Month-to-month,"Fiber optic","Electronic check",New,Yes
3488-PGMQJ,Male,8,74.50,606.55,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
3580-REOAC,Male,10,44.85,435.40,Month-to-month,DSL,"Credit card (automatic)",Mid,Yes
7534-BFESC,Male,24,76.10,1712.70,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
3727-OWVYD,Male,35,61.20,2021.20,"One year",DSL,"Mailed check",Loyal,No
2294-SALNE,Male,23,86.80,1940.80,"One year","Fiber optic","Mailed check",Loyal,No
4847-TAJYI,Female,6,89.35,567.80,Month-to-month,"Fiber optic","Electronic check",New,No
6556-DBKZF,Female,71,76.05,5436.45,"Two year","Fiber optic","Electronic check",Loyal,No
6851-WEFYX,Male,35,100.80,3437.50,Month-to-month,"Fiber optic","Electronic check",Loyal,No
2985-JUUBZ,Male,40,74.55,3015.75,Month-to-month,DSL,"Electronic check",Loyal,No
6390-DSAZX,Female,1,73.60,73.60,Month-to-month,"Fiber optic","Mailed check",New,Yes
0895-LMRSF,Male,23,64.90,1509.80,"One year",DSL,"Bank transfer (automatic)",Loyal,No
8098-LLAZX,Female,4,95.45,396.10,Month-to-month,"Fiber optic","Electronic check",New,Yes
8266-VBFQL,Male,4,90.40,356.65,Month-to-month,"Fiber optic","Electronic check",New,No
8181-YHCMF,Female,68,60.30,4109.00,"Two year",DSL,"Credit card (automatic)",Loyal,No
2240-HSJQD,Male,38,81.85,3141.70,Month-to-month,"Fiber optic","Mailed check",Loyal,No
0265-EDXBD,Male,32,74.90,2303.35,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
4115-BNPJY,Male,29,75.55,2054.40,"Two year",DSL,"Mailed check",Loyal,No
3167-SNQPL,Male,38,101.15,3741.85,Month-to-month,"Fiber optic","Electronic check",Loyal,No
4091-TVOCN,Male,48,78.75,3682.45,"One year",DSL,"Credit card (automatic)",Loyal,No
7277-OZCGZ,Female,22,89.05,1886.25,Month-to-month,"Fiber optic","Electronic check",Loyal,No
1557-EMYVT,Female,43,115.05,4895.10,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
2799-ARNLO,Female,5,69.35,341.60,Month-to-month,"Fiber optic","Electronic check",New,No
7563-BIUPC,Male,5,80.60,415.55,Month-to-month,"Fiber optic","Electronic check",New,Yes
5027-YOCXN,Male,51,110.05,5686.40,"One year","Fiber optic","Credit card (automatic)",Loyal,No
2321-OMBXY,Female,38,80.30,3058.65,"One year",DSL,"Credit card (automatic)",Loyal,Yes
2840-XANRC,Male,24,93.15,2231.05,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
6745-JEFZB,Male,35,91.50,3236.35,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
5020-ZSTTY,Female,54,82.45,4350.10,"One year",DSL,"Bank transfer (automatic)",Loyal,Yes
9880-TDQAC,Female,72,60.00,4264.00,"Two year",DSL,"Electronic check",Loyal,No
8705-WZCYL,Male,1,44.80,44.80,Month-to-month,DSL,"Electronic check",New,No
7102-JJVTX,Female,9,48.60,422.30,"One year",DSL,"Mailed check",Mid,No
8626-PTQGE,Male,69,60.05,4176.70,"Two year",DSL,"Bank transfer (automatic)",Loyal,No
4983-CLMLV,Female,52,102.70,5138.10,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
5701-YVSVF,Female,11,82.90,880.05,Month-to-month,"Fiber optic","Electronic check",Mid,No
5804-LEPIM,Female,2,70.35,139.05,Month-to-month,"Fiber optic","Electronic check",New,Yes
5697-GOMBF,Female,28,35.90,973.65,Month-to-month,DSL,"Electronic check",Loyal,No
2739-CACDQ,Female,17,82.65,1470.05,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
2379-GYFLQ,Male,46,94.90,4422.95,"One year","Fiber optic","Credit card (automatic)",Loyal,No
0122-OAHPZ,Female,7,73.85,511.25,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
2868-SNELZ,Female,2,80.60,155.80,Month-to-month,"Fiber optic","Mailed check",New,Yes
4322-RCYMT,Male,68,75.80,5293.95,"One year",DSL,"Bank transfer (automatic)",Loyal,Yes
6680-NENYN,Female,43,104.60,4759.85,"Two year","Fiber optic","Electronic check",Loyal,Yes
2088-IEBAU,Female,68,88.15,6148.45,"Two year",DSL,"Electronic check",Loyal,No
7982-VCELR,Female,36,94.80,3565.65,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
