,tenure,MonthlyCharges,TotalCharges,gender_Male,Contract_One year,Contract_Two year,InternetService_Fiber optic,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_Mid,tenure_group_New,Churn_Yes
32,46,74.8,3548.3,False,False,False,True,True,False,False,False,False,False
33,34,106.35,3549.25,True,False,False,True,False,True,False,False,False,True
34,11,97.85,1105.4,False,False,False,True,False,False,False,True,False,True
35,10,49.55,475.7,True,True,False,False,False,False,True,True,False,False
36,70,69.2,4872.35,False,False,True,False,True,False,False,False,False,False
37,63,79.85,4861.45,False,False,True,False,True,False,False,False,False,False
38,13,76.2,981.45,False,False,False,False,False,True,False,False,False,False
39,49,84.5,3906.7,False,False,False,True,False,True,False,False,False,False
40,2,49.25,97.0,True,False,False,False,False,False,True,False,True,False
41,2,80.65,144.15,False,False,False,True,False,True,False,False,True,True
42,52,79.75,4217.8,True,False,True,False,True,False,False,False,False,False
43,69,64.15,4254.1,False,False,True,False,True,False,False,False,False,False
44,43,90.25,3838.75,False,False,False,True,False,True,False,False,False,False
45,15,99.1,1426.4,False,False,False,True,True,False,False,False,False,True
46,25,69.5,1752.65,False,False,False,False,True,False,False,False,False,False
47,8,80.65,633.3,False,False,False,True,True,False,False,True,False,True
48,60,74.85,4456.35,False,True,False,False,True,False,False,False,False,False
49,18,95.45,1752.55,True,False,False,True,False,True,False,False,False,True
50,63,99.65,6311.2,False,True,False,True,True,False,False,False,False,False
51,66,108.45,7076.35,True,True,False,True,False,True,False,False,False,False
52,72,107.5,7853.7,False,False,True,True,True,False,False,False,False,False
53,47,100.5,4707.1,False,False,False,True,False,True,False,False,False,False
54,60,89.9,5450.7,True,False,False,True,False,False,False,False,False,False
55,72,42.1,2962.0,True,False,True,False,False,False,False,False,False,False
56,18,54.4,957.1,False,True,False,False,True,False,False,False,False,False
57,9,94.4,857.25,False,False,False,True,False,True,False,True,False,True
58,3,75.3,244.1,False,False,False,False,False,True,False,False,True,False
59,47,78.9,3650.35,True,True,False,True,False,True,False,False,False,False
60,31,79.2,2497.2,False,False,True,False,False,False,True,False,False,False
61,10,79.85,887.35,True,False,False,True,False,False,True,True,False,False
62,1,49.05,49.05,True,False,False,False,False,False,True,False,True,False
63,64,111.6,7099.0,True,False,True,True,False,False,False,False,False,False
64,3,64.5,177.4,False,False,False,False,False,False,False,False,True,False
65,56,110.5,6139.5,False,True,False,True,False,True,False,False,False,False
66,46,55.65,2688.85,False,True,False,False,True,False,False,False,False,False
67,8,54.65,482.25,False,False,False,False,False,False,True,True,False,False
68,30,74.75,2111.3,True,False,False,False,False,True,False,False,False,False
69,1,79.35,79.35,False,False,False,True,False,True,False,False,True,True
70,11,50.55,565.35,False,False,False,False,False,True,False,True,False,False
71,7,75.15,496.9,False,False,False,True,False,False,False,True,False,True
72,42,103.8,4327.5,False,False,False,True,False,False,False,False,False,False
73,9,99.3,918.75,True,False,False,True,True,False,False,True,False,False
74,35,62.15,2215.45,False,True,False,False,False,False,False,False,False,False
75,29,33.75,1009.25,True,False,False,False,False,False,True,False,False,False
76,30,82.05,2570.2,True,False,False,True,False,False,False,False,False,False
77,1,74.7,74.7,True,False,False,True,False,True,False,False,True,False
78,66,84.0,5714.25,True,False,True,False,False,False,True,False,False,False
79,65,111.05,7107.0,False,False,False,True,True,False,False,False,False,False
80,72,100.9,7459.05,True,False,True,True,False,False,False,False,False,False
81,12,78.95,927.35,False,False,False,True,False,True,False,True,False,True
82,71,66.85,4748.7,True,True,False,False,True,False,False,False,False,False
83,25,98.5,2514.5,False,False,False,True,False,True,False,False,False,True
84,38,95.0,3605.6,True,True,False,True,False,False,False,False,False,False
85,66,45.55,3027.25,False,True,False,False,False,False,False,False,False,False
86,68,110.0,7611.85,True,False,True,True,False,False,False,False,False,True
87,5,24.3,100.2,True,False,False,False,False,False,True,False,True,False
88,72,104.15,7303.05,False,True,False,True,False,True,False,False,False,False
89,32,30.15,927.65,False,True,False,False,False,False,True,False,False,False
90,43,94.35,3921.3,True,True,False,True,False,False,True,False,False,False
91,55,96.75,5238.9,True,False,False,True,False,True,False,False,False,True
92,52,57.95,3042.25,False,True,False,False,True,False,False,False,False,False
93,43,91.65,3954.1,False,False,False,True,False,True,False,False,False,False
94,37,76.5,2868.15,False,False,False,True,False,True,False,False,False,True
95,64,54.6,3423.5,False,False,True,False,False,True,False,False,False,False
96,3,89.85,248.4,True,False,False,True,False,True,False,False,True,False
97,36,31.05,1126.35,False,False,True,False,False,False,False,False,False,False
98,10,100.25,1064.65,False,False,False,True,False,True,False,True,False,True
99,27,85.2,2151.6,True,False,False,True,True,False,False,False,False,False
100,56,99.8,5515.45,False,True,False,True,True,False,False,False,False,False
101,3,74.4,229.55,True,False,False,True,False,True,False,False,True,True
102,7,50.7,350.35,False,False,False,False,False,False,True,True,False,False
103,33,88.95,3027.65,True,False,True,True,False,True,False,False,False,False
104,27,78.05,2135.5,False,False,False,True,False,True,False,False,False,True
105,71,56.45,3985.35,True,True,False,False,False,True,False,False,False,False
106,13,85.95,1215.65,False,False,False,True,False,True,False,False,False,False
107,25,58.6,1502.65,False,False,False,False,True,False,False,False,False,True
108,67,50.55,3260.1,True,False,True,False,False,False,False,False,False,False
109,1,35.45,35.45,True,False,False,False,False,True,False,False,True,True
110,2,44.35,81.25,True,False,False,False,False,True,False,False,True,True
111,23,75.0,1778.5,False,False,False,True,False,False,False,False,False,False
112,1,70.45,70.45,False,False,False,True,False,False,True,False,True,True
113,72,88.05,6425.65,False,False,True,False,True,False,False,False,False,False
114,8,71.15,563.65,False,False,False,False,False,True,False,True,False,True
115,61,101.05,5971.25,False,False,True,True,False,False,False,False,False,False
116,64,84.3,5289.05,True,True,False,True,True,False,False,False,False,False
117,65,99.05,6416.7,False,False,True,True,True,False,False,False,False,False
118,1,45.65,45.65,True,False,False,False,False,True,False,False,True,True
119,30,64.5,1929.95,True,True,False,False,True,False,False,False,False,False
120,15,69.5,1071.4,True,False,False,False,False,False,True,False,False,False
121,8,68.55,564.35,False,False,False,False,False,True,False,True,False,False
122,7,95.0,655.5,True,False,False,True,False,False,True,True,False,True
123,70,108.15,7930.55,False,True,False,True,True,False,False,False,False,False
124,62,86.1,5215.25,True,False,True,False,False,True,False,False,False,False
125,14,80.9,1152.8,False,False,False,True,False,False,False,False,False,False
126,22,84.15,1821.95,False,False,False,True,False,False,False,False,False,False
127,16,64.25,1024.0,True,False,True,False,False,False,True,False,False,False
128,13,56.0,764.55,False,False,False,False,False,True,False,False,False,False
129,20,82.4,1592.35,False,False,False,True,False,True,False,False,False,True
130,2,69.7,135.2,False,False,False,True,False,True,False,False,True,False
131,53,73.9,3958.25,True,False,True,False,False,False,False,False,False,False
132,4,70.9,273.0,False,False,False,True,False,False,False,False,True,True
133,72,89.05,6254.45,True,False,True,False,False,False,False,False,False,False
134,58,45.3,2651.2,True,False,False,False,False,True,False,False,False,True
135,43,84.25,3539.25,True,True,False,True,False,False,False,False,False,False
136,2,104.4,242.8,False,False,False,True,False,True,False,False,True,True
137,14,81.95,1181.75,True,False,True,False,False,False,True,False,False,False
138,53,94.85,5000.2,False,True,False,True,False,False,False,False,False,True
139,15,74.45,1145.7,False,False,False,True,False,False,True,False,False,True
140,7,76.45,503.6,False,False,False,True,False,False,False,True,False,True
141,15,105.35,1559.25,False,False,False,True,False,False,False,False,False,False
142,1,29.95,29.95,False,False,False,False,False,False,False,False,True,True
143,1,45.3,45.3,False,False,False,False,False,False,True,False,True,False
144,8,84.5,662.65,True,False,False,True,False,False,False,True,False,True
145,33,74.75,2453.3,True,True,False,False,True,False,False,False,False,False
146,13,79.25,1111.65,False,False,False,True,False,True,False,False,False,True
147,1,24.8,24.8,False,False,False,False,False,True,False,False,True,True
148,20,51.8,1023.85,True,False,False,False,False,False,True,False,False,False
149,3,30.4,82.15,True,False,False,False,False,True,False,False,True,False
150,40,56.6,2379.1,False,False,False,False,True,False,False,False,False,False
151,43,71.9,3173.35,True,True,False,False,True,False,False,False,False,False
152,6,91.0,531.0,True,False,False,True,False,True,False,False,True,True
153,72,109.7,8129.3,False,False,True,True,True,False,False,False,False,False
154,20,96.55,1901.65,False,False,False,True,False,True,False,False,False,False
155,59,111.35,6519.75,True,False,False,True,False,True,False,False,False,False
156,72,112.25,8041.65,True,False,True,True,False,False,False,False,False,False
157,27,101.9,2681.15,False,True,False,True,True,False,False,False,False,False
158,14,80.05,1112.3,False,False,False,True,True,False,False,False,False,False
159,71,105.55,7405.5,True,False,True,True,False,True,False,False,False,False
160,13,78.3,1033.95,True,False,False,True,True,False,False,False,False,False
161,44,68.85,2958.95,True,False,False,True,True,False,False,False,False,False
162,33,79.95,2684.85,False,True,False,True,False,False,False,False,False,False
163,72,55.45,4179.2,True,False,True,False,True,False,False,False,False,False
164,1,79.9,79.9,True,False,False,True,False,True,False,False,True,True
165,19,106.6,1934.45,False,False,False,True,False,True,False,False,False,True
166,64,102.45,6654.1,True,True,False,True,True,False,False,False,False,False
167,2,46.0,84.5,True,False,False,False,True,False,False,False,True,True
168,1,25.25,25.25,False,False,False,False,False,True,False,False,True,False
169,23,86.8,1975.85,True,False,False,True,False,True,False,False,False,False
170,57,58.75,3437.45,False,False,False,False,False,False,False,False,False,False
171,72,45.25,3139.8,True,False,True,False,True,False,False,False,False,False
172,66,56.6,3789.2,True,False,True,False,False,False,False,False,False,False
173,65,84.2,5324.5,True,False,True,False,False,False,False,False,False,False
174,8,80.0,624.6,False,False,False,True,False,False,False,True,False,False
175,4,70.15,268.35,False,False,False,True,False,True,False,False,True,True
176,4,50.05,179.35,True,False,False,False,False,False,True,False,True,True
177,24,50.6,1288.75,True,True,False,False,False,False,True,False,False,False
178,31,81.15,2545.75,False,True,False,False,False,False,True,False,False,False
179,1,55.2,55.2,False,False,False,False,False,False,True,False,True,True
180,30,89.9,2723.15,True,False,False,True,True,False,False,False,False,False
181,47,85.3,4107.25,False,False,True,False,True,False,False,False,False,False
182,54,108.0,5760.65,True,False,True,True,True,False,False,False,False,False
183,50,93.5,4747.5,True,False,False,True,True,False,False,False,False,False
184,1,84.6,84.6,True,False,False,True,False,False,True,False,True,True
185,2,54.4,114.1,True,False,False,False,False,False,True,False,True,True
186,10,29.6,299.05,False,False,True,False,False,False,True,True,False,False
187,18,73.15,1305.95,True,False,False,True,False,True,False,False,False,False
188,11,95.0,1120.3,False,False,False,True,False,True,False,True,False,True
189,72,86.6,6350.5,False,False,True,False,False,False,False,False,False,False
190,72,109.2,7878.3,True,False,True,True,False,False,False,False,False,False
191,41,74.7,3187.65,False,True,False,False,True,False,False,False,False,False
192,65,94.4,6126.15,False,False,False,True,False,True,False,False,False,False
193,13,54.8,731.3,False,False,False,False,False,True,False,False,False,False
194,4,75.35,273.4,True,False,False,True,False,True,False,False,True,False
195,41,65.0,2531.8,True,True,False,False,False,False,True,False,False,False
196,15,74.4,1074.3,True,False,False,True,False,True,False,False,False,True
197,1,48.55,48.55,True,False,False,False,False,False,True,False,True,True
198,42,99.0,4298.45,True,True,False,True,False,True,False,False,False,False
199,51,93.5,4619.55,False,True,False,True,False,True,False,False,False,False
200,2,70.4,147.15,False,False,False,True,False,True,False,False,True,True
201,1,40.2,40.2,True,False,False,False,False,True,False,False,True,True
202,32,83.7,2633.3,True,True,False,False,True,False,False,False,False,False
203,67,59.55,4103.9,False,False,True,False,False,True,False,False,False,False
204,61,115.1,7008.15,False,False,True,True,True,False,False,False,False,False
205,50,114.35,5791.1,True,True,False,True,True,False,False,False,False,False
206,2,44.6,80.55,False,False,False,False,True,False,False,False,True,True
207,29,45.0,1228.65,False,False,False,False,False,True,False,False,False,False
208,3,41.15,132.2,True,False,False,False,False,True,False,False,True,True
209,13,106.9,1364.3,True,False,False,True,False,True,False,False,False,True
210,57,89.85,4925.35,True,False,False,True,False,True,False,False,False,False
211,31,49.85,1520.1,False,False,True,False,False,False,False,False,False,False
212,45,113.3,5032.25,False,True,False,True,False,False,True,False,False,False
213,61,88.1,5526.75,False,False,True,False,False,False,True,False,False,False
214,19,105.0,2007.25,False,False,False,True,False,False,True,False,False,False
215,16,94.45,1511.2,False,False,False,True,False,True,False,False,False,True
216,57,59.75,3450.15,True,False,True,False,False,True,False,False,False,False
217,1,24.8,24.8,True,False,False,False,False,False,False,False,True,True
218,20,107.05,2172.05,True,False,False,True,False,True,False,False,False,False
219,1,70.6,70.6,True,False,False,True,False,False,True,False,True,True
220,5,85.4,401.1,True,False,False,True,False,True,False,False,True,True
221,52,105.05,5624.85,False,False,False,True,False,True,False,False,False,True
222,21,64.95,1339.8,True,False,False,False,False,False,False,False,False,False
223,14,55.0,771.95,True,False,False,False,False,True,False,False,False,False
224,5,50.55,244.75,False,False,False,False,False,False,False,False,True,False
225,6,55.15,322.9,False,False,False,False,False,False,True,False,True,False
226,10,51.2,498.25,False,False,False,False,False,True,False,True,False,False
227,68,54.45,3687.75,False,False,False,False,False,False,True,False,False,False
228,18,95.15,1779.95,True,False,False,True,False,False,True,False,False,True
229,22,76.0,1783.6,False,True,False,True,True,False,False,False,False,False
230,20,44.35,927.15,False,False,False,False,False,True,False,False,False,False
231,1,70.0,70.0,True,False,False,True,False,True,False,False,True,True
232,8,74.5,606.55,True,False,False,True,False,True,False,True,False,True
233,10,44.85,435.4,True,False,False,False,True,False,False,True,False,True
234,24,76.1,1712.7,True,False,False,True,False,True,False,False,False,True
235,35,61.2,2021.2,True,True,False,False,False,False,True,False,False,False
236,23,86.8,1940.8,True,True,False,True,False,False,True,False,False,False
237,6,89.35,567.8,False,False,False,True,False,True,False,False,True,False
238,71,76.05,5436.45,False,False,True,True,False,True,False,False,False,False
239,35,100.8,3437.5,True,False,False,True,False,True,False,False,False,False
240,40,74.55,3015.75,True,False,False,False,False,True,False,False,False,False
241,1,73.6,73.6,False,False,False,True,False,False,True,False,True,True
242,23,64.9,1509.8,True,True,False,False,False,False,False,False,False,False
243,4,95.45,396.1,False,False,False,True,False,True,False,False,True,True
244,4,90.4,356.65,True,False,False,True,False,True,False,False,True,False
245,68,60.3,4109.0,False,False,True,False,True,False,False,False,False,False
246,38,81.85,3141.7,True,False,False,True,False,False,True,False,False,False
247,32,74.9,2303.35,True,False,False,True,False,True,False,False,False,True
248,29,75.55,2054.4,True,False,True,False,False,False,True,False,False,False
249,38,101.15,3741.85,True,False,False,True,False,True,False,False,False,False
250,48,78.75,3682.45,True,True,False,False,True,False,False,False,False,False
251,22,89.05,1886.25,False,False,False,True,False,True,False,False,False,False
252,43,115.05,4895.1,False,False,True,True,True,False,False,False,False,False
253,5,69.35,341.6,False,False,False,True,False,True,False,False,True,False
254,5,80.6,415.55,True,False,False,True,False,True,False,False,True,True
255,51,110.05,5686.4,True,True,False,True,True,False,False,False,False,False
256,38,80.3,3058.65,False,True,False,False,True,False,False,False,False,True
257,24,93.15,2231.05,True,False,False,True,False,True,False,False,False,True
258,35,91.5,3236.35,True,False,False,True,True,False,False,False,False,False
259,54,82.45,4350.1,False,True,False,False,False,False,False,False,False,True
260,72,60.0,4264.0,False,False,True,False,False,True,False,False,False,False
261,1,44.8,44.8,True,False,False,False,False,True,False,False,True,False
262,9,48.6,422.3,False,True,False,False,False,False,True,True,False,False
263,69,60.05,4176.7,True,False,True,False,False,False,False,False,False,False
264,52,102.7,5138.1,False,False,False,True,True,False,False,False,False,False
265,11,82.9,880.05,False,False,False,True,False,True,False,True,False,False
266,2,70.35,139.05,False,False,False,True,False,True,False,False,True,True
267,28,35.9,973.65,False,False,False,False,False,True,False,False,False,False
268,17,82.65,1470.05,False,False,False,True,True,False,False,False,False,False
269,46,94.9,4422.95,True,True,False,True,True,False,False,False,False,False
270,7,73.85,511.25,False,False,False,True,False,True,False,True,False,True
271,2,80.6,155.8,False,False,False,True,False,False,True,False,True,True
272,68,75.8,5293.95,True,True,False,False,False,False,False,False,False,True
273,43,104.6,4759.85,False,False,True,True,False,True,False,False,False,True
274,68,88.15,6148.45,False,False,True,False,False,True,False,False,False,False
275,36,94.8,3565.65,False,False,False,True,True,False,False,False,False,False
276,63,103.4,6603.0,True,False,False,True,False,True,False,False,False,True
277,32,54.65,1830.1,False,False,False,False,False,False,False,False,False,False
278,71,85.75,6223.8,False,False,True,False,True,False,False,False,False,False
279,66,67.45,4508.65,False,False,False,False,False,False,False,False,False,False
280,1,72.1,72.1,False,False,False,True,False,True,False,False,True,False
281,2,90.4,168.2,False,False,False,True,False,True,False,False,True,True
282,23,44.95,996.85,False,False,False,False,False,True,False,False,False,False
283,64,97.0,6430.9,False,True,False,True,False,False,False,False,False,False
284,37,62.8,2278.75,True,False,True,False,True,False,False,False,False,False
285,17,44.6,681.4,True,True,False,False,False,False,True,False,False,False
286,7,89.15,574.35,False,False,False,True,False,True,False,True,False,False
287,4,84.8,371.9,True,False,False,True,False,False,False,False,True,True
288,21,41.9,840.1,False,False,False,False,False,True,False,False,False,True
289,10,80.25,846.0,False,False,False,True,False,False,False,True,False,True
290,16,54.1,889.0,False,False,False,False,False,True,False,False,False,False
291,64,105.25,6823.4,True,False,True,True,False,True,False,False,False,False
292,27,30.75,805.1,True,False,False,False,True,False,False,False,False,True
293,42,97.1,4016.75,True,True,False,True,False,True,False,False,False,False
294,41,98.8,3959.15,False,False,True,True,False,False,False,False,False,False
295,58,50.3,2878.55,True,True,False,False,True,False,False,False,False,False
296,18,75.9,1373.05,True,False,False,True,False,False,False,False,False,False
297,5,96.5,492.55,True,False,False,True,False,False,False,False,True,True
298,23,59.95,1406.0,True,False,False,False,False,False,False,False,False,False
299,71,98.65,6962.85,True,True,False,True,True,False,False,False,False,False
300,72,112.6,8126.65,True,False,True,True,True,False,False,False,False,False
301,2,85.65,181.5,True,False,False,True,False,True,False,False,True,True
302,24,35.75,830.8,True,False,True,False,False,False,True,False,False,False
303,56,99.75,5608.4,False,True,False,True,True,False,False,False,False,False
304,37,96.1,3646.8,True,False,False,True,True,False,False,False,False,False
305,43,85.1,3662.25,False,True,False,False,True,False,False,False,False,False
306,1,25.35,25.35,True,False,False,False,False,False,True,False,True,False
307,25,104.95,2566.5,False,False,False,True,False,False,False,False,False,True
308,61,89.65,5308.7,False,False,True,False,False,True,False,False,False,False
309,17,86.75,1410.25,True,True,False,True,False,True,False,False,False,False
310,41,86.2,3339.05,False,True,False,True,False,False,False,False,False,False
311,1,50.65,50.65,True,False,False,False,False,False,True,False,True,True
312,72,64.8,4732.35,True,False,True,False,False,False,False,False,False,False
313,1,90.85,90.85,True,False,False,True,True,False,False,False,True,True
314,48,108.1,5067.45,True,False,True,True,False,False,False,False,False,False
315,55,85.45,4874.7,False,False,False,True,False,True,False,False,False,True
316,42,54.75,2348.45,False,True,False,False,False,True,False,False,False,False
317,44,90.4,4063.0,True,False,False,True,False,False,True,False,False,False
318,1,44.0,44.0,True,False,False,False,False,True,False,False,True,False
319,27,95.6,2595.25,False,False,False,True,False,False,False,False,False,False
320,27,84.8,2309.55,True,False,False,False,False,False,False,False,False,False
321,2,44.3,89.3,False,False,False,False,False,True,False,False,True,False
322,42,95.05,3944.5,False,False,False,True,False,True,False,False,False,False
323,66,90.05,5965.95,False,False,True,False,True,False,False,False,False,False
324,33,109.9,3694.7,True,False,False,True,False,False,False,False,False,False
325,34,73.95,2524.45,False,False,False,True,True,False,False,False,False,True
326,33,54.6,1803.7,True,False,False,False,False,True,False,False,False,False
327,69,99.45,7007.6,True,False,False,True,True,False,False,False,False,True
328,68,55.9,3848.8,False,True,False,False,False,False,False,False,False,False
329,60,95.4,5812.0,True,True,False,True,False,False,False,False,False,False
330,32,93.95,2861.45,True,False,False,True,False,False,True,False,False,False
331,3,81.35,233.7,True,False,False,True,False,True,False,False,True,True
332,29,74.95,2149.05,False,False,False,True,False,True,False,False,False,False
333,51,87.35,4473.0,True,False,False,True,False,True,False,False,False,False
334,48,70.65,3545.05,False,False,False,True,False,False,False,False,False,False
335,16,73.25,1195.75,False,False,False,True,False,False,False,False,False,False
336,70,98.7,6858.9,True,False,True,True,False,False,False,False,False,False
337,22,83.3,1845.9,False,False,False,True,False,True,False,False,False,True
338,1,75.3,75.3,False,False,False,True,False,False,False,False,True,True
339,7,69.85,515.45,False,False,False,True,False,False,False,True,False,False
340,29,100.55,2830.45,True,True,False,True,True,False,False,False,False,False
341,10,40.7,449.3,False,False,False,False,False,False,False,True,False,False
342,55,51.65,2838.55,False,False,False,False,False,False,False,False,False,False
343,52,105.1,5376.4,True,True,False,True,False,False,False,False,False,False
344,10,85.95,858.6,False,False,False,True,False,True,False,True,False,False
345,18,75.6,1395.05,True,False,False,True,False,False,False,False,False,False
346,68,58.25,3975.7,False,True,False,False,False,False,False,False,False,False
347,72,65.2,4784.45,False,False,True,False,True,False,False,False,False,False
348,2,53.45,119.5,True,False,False,False,False,True,False,False,True,False
349,12,45.4,518.9,True,False,False,False,False,False,False,True,False,True
350,26,44.45,1183.8,False,False,False,False,True,False,False,False,False,False
351,72,114.05,8468.2,True,False,True,True,True,False,False,False,False,False
352,35,89.85,3161.2,True,False,False,True,False,False,False,False,False,False
353,1,55.05,55.05,True,False,False,False,False,False,True,False,True,False
354,16,112.95,1882.55,False,False,False,True,False,True,False,False,False,False
355,49,101.55,5070.4,False,False,False,True,True,False,False,False,False,False
356,54,114.65,6049.5,False,True,False,True,False,False,True,False,False,False
357,18,64.8,1166.7,False,False,False,False,False,True,False,False,False,False
358,36,80.4,2937.65,False,False,False,True,False,True,False,False,False,False
359,60,105.9,6396.45,False,False,False,True,False,True,False,False,False,True
360,1,69.55,69.55,False,False,False,True,False,False,True,False,True,True
361,8,94.75,759.55,True,False,False,True,False,True,False,True,False,False
362,72,105.5,7611.55,True,False,True,True,False,False,False,False,False,False
363,22,69.75,1545.4,False,False,False,False,False,False,True,False,False,False
364,60,60.2,3582.4,True,False,False,False,False,False,False,False,False,False
365,28,81.05,2227.1,False,False,False,True,False,True,False,False,False,True
366,24,104.15,2494.65,False,False,False,True,False,True,False,False,False,False
367,28,92.9,2768.35,True,True,False,True,False,False,False,False,False,False
368,30,80.8,2369.3,False,False,True,False,False,False,False,False,False,False
369,1,75.1,75.1,True,False,False,True,False,True,False,False,True,False
370,24,69.45,1614.05,False,False,False,False,False,False,False,False,False,False
371,4,101.15,385.9,True,False,False,True,False,True,False,False,True,True
372,7,99.8,673.25,True,False,False,True,False,True,False,True,False,True
373,72,116.05,8404.9,True,False,True,True,False,False,False,False,False,False
374,70,40.05,2799.75,True,False,True,False,False,False,True,False,False,False
375,64,102.1,6538.45,True,False,True,True,False,True,False,False,False,False
376,72,89.7,6588.95,True,True,False,True,False,True,False,False,False,False
377,13,55.95,734.35,False,False,False,False,False,True,False,False,False,True
378,1,55.0,55.0,True,False,False,False,False,True,False,False,True,True
379,9,70.05,564.4,True,False,False,False,False,False,True,True,False,False
380,24,53.6,1315.35,True,False,False,False,False,False,True,False,False,False
381,1,74.7,74.7,False,False,False,True,False,True,False,False,True,True
382,24,80.25,1861.5,True,False,False,True,False,True,False,False,False,True
383,35,76.05,2747.2,True,False,False,False,False,True,False,False,False,False
384,7,75.7,554.05,False,False,False,False,False,True,False,True,False,False
385,5,96.1,453.4,True,False,False,True,False,True,False,False,True,True
386,15,69.0,994.8,False,False,False,True,False,False,False,False,False,True
387,48,45.3,2145.0,False,False,False,False,False,False,False,False,False,True
388,20,81.45,1671.6,False,False,False,True,False,True,False,False,False,False
389,72,108.5,8003.8,False,True,False,True,False,False,False,False,False,False
390,8,83.55,680.05,False,False,False,True,False,True,False,True,False,True
391,72,84.5,6130.85,True,False,True,True,True,False,False,False,False,False
392,15,100.15,1415.0,False,False,False,True,False,True,False,False,False,False
393,72,88.6,6201.95,True,False,True,False,False,False,False,False,False,False
394,1,74.35,74.35,True,False,False,True,False,True,False,False,True,True
395,63,104.8,6597.25,True,False,True,True,False,False,False,False,False,False
396,2,59.0,114.15,False,False,False,False,False,True,False,False,True,False
397,2,74.4,139.4,False,False,False,True,False,True,False,False,True,True
398,61,64.05,3902.6,True,True,False,False,False,False,False,False,False,False
399,22,43.75,903.6,True,True,False,False,False,False,False,False,False,True
400,28,60.9,1785.65,True,False,False,False,False,False,True,False,False,False
401,5,28.45,131.05,False,False,False,False,False,True,False,False,True,True
402,12,99.7,1238.45,False,False,False,True,False,False,False,True,False,True
403,34,116.25,3899.05,True,True,False,True,True,False,False,False,False,False
404,71,80.7,5676.0,False,False,True,True,True,False,False,False,False,False
405,70,65.2,4543.15,False,True,False,False,False,False,False,False,False,False
406,52,84.05,4326.8,False,False,False,True,False,False,False,False,False,False
407,69,79.45,5502.55,True,False,True,False,True,False,False,False,False,False
408,20,94.1,1782.4,False,False,False,True,False,True,False,False,False,True
409,11,78.0,851.8,True,False,False,True,False,False,True,True,False,False
410,2,94.2,167.5,True,False,False,True,False,True,False,False,True,True
411,6,80.5,502.85,False,False,False,True,False,True,False,False,True,True
412,20,94.3,1818.3,True,True,False,True,True,False,False,False,False,False
413,61,106.45,6300.15,True,False,False,True,False,True,False,False,False,False
414,5,74.35,334.8,False,False,False,True,False,True,False,False,True,True
415,56,105.45,5916.95,False,False,False,True,False,False,False,False,False,False
416,30,95.0,2852.4,True,False,False,True,True,False,False,False,False,False
417,40,104.8,4131.95,True,False,False,True,False,False,False,False,False,True
418,28,54.3,1546.3,False,True,False,False,False,False,True,False,False,False
419,5,70.05,302.6,False,False,False,True,False,True,False,False,True,False
420,27,75.2,1929.35,False,False,False,True,False,False,False,False,False,True
